term,weight
and,0.1249052722203777
new,0.10704864053163161
data,0.105862550178659
applet,0.10189811524673123
button,0.09759277548436787
int,0.09119251652762447
code,0.08656578046836479
class,0.07834597261165656
basicsjava,0.0773251027345559
array,0.07724651727618619
method,0.07299730668144096
or,0.0723042404502799
string,0.0641109110676577
not,0.05662660089885867
language,0.05450707560788866
public,0.051080947876020986
object,0.05106802158244615
applications,0.04906218330813835
objects,0.04850126292258474
example,0.04806487946764795
